id,set_id,localId,name,set_name,grade,price,sold_date,title,set_phrase_from_title,set_match_name,set_match_score
me02-106,me02,106,Meowth,Phantasmal Flames,ACE 10,£94.29,Sold 7 Jun 2026,Meowth 106/094 Illustration Rare Phantasmal Flames ACE 10,Illustration Rare Phantasmal Flames,Phantasmal Flames,0.654
ex12-35,ex12,35,Haunter,Legend Maker,ACE 10,£99.00,Sold 7 Jun 2026,Pokemon TCG - Haunter 35/92 Legend Maker 2006 ex era GEM MINT ACE 10,Legend Maker ex era,Legend Maker,0.774
sv10-215,sv10,215,Cynthia's Garchomp ex,Destined Rivals,ACE 10,£29.99,Sold 7 Jun 2026,Pokémon TCG Cynthia's Garchomp EX 215/182 Destined Rivals Ace 10 Gem Mint,Destined Rivals Ace 10,Destined Rivals,0.811
me01-152,me01,152,Delibird,Mega Evolution,ACE 10,£26.04,Sold 7 Jun 2026,Delibird 152/132 Mega Evolutions Ace 10 Pokemon TCG Perfect Subgrades,Mega Evolutions Ace 10,Mega Evolution,0.778
sv10.5w-167,sv10.5w,167,Keldeo ex,White Flare,ACE 10,£94.30,Sold 7 Jun 2026,Keldeo EX 167/086 White Flare SIR ace 10 Matching Label Perfect Subgrades,White Flare SIR ace,White Flare,0.733
me03-119,me03,119,Mega Clefable ex,Perfect Order,ACE 10,£90.00,Sold 7 Jun 2026,Mega Clefable EX 119/088 SIR Perfect Order ACE 10 Gem Mint PERFECT SUBGRADES,SIR Perfect Order ACE,Perfect Order,0.765
sv10-231,sv10,231,Team Rocket's Mewtwo ex,Destined Rivals,ACE 10,£649.99,Sold 7 Jun 2026,Team Rockets Mewtwo 231/182 Sir Destined Rivals Ace 10 Perfect Subgrades,Sir Destined Rivals Ace,Destined Rivals,0.789
sv08.5-060,sv08.5,60,Umbreon ex,Prismatic Evolutions,ACE 9,£20.43,Sold 6 Jun 2026,Umbreon Ex Surprise Box Stamped Promo 060/131 Prismatic Evolutions ACE 9,Prismatic Evolutions ACE 9,Prismatic Evolutions,0.87
me03-017,me03,17,Turtonator,Perfect Order,ACE 10,£169.99,Sold 6 Jun 2026,Pokémon Umbreon TCG Gold Star Ace 10 Celebrations 17/17 - Perfect Sub Grades!,- Perfect Sub Grades!,Perfect Order,0.71
me02.5-228,me02.5,228,Weavile,Ascended Heroes,ACE 10,£36.99,Sold 6 Jun 2026,Pokemon TCG - Weavile - 228/217 - Ascended Heroes - Ace 10 - Perfect SubGrades,- Ascended Heroes -,Ascended Heroes,1.0
swsh9-TG05,swsh9,TG05,Zekrom,Brilliant Stars,ACE 8,£22.54,Sold 6 Jun 2026,Pokemon TCG Zekrom TG05/TG30 Brilliant Stars Trainer Gallery Ace 8,Brilliant Stars Trainer Gallery,Brilliant Stars,0.652
sv03-215,sv03,215,Charizard ex,Obsidian Flames,ACE 10,£70.00,Sold 6 Jun 2026,ACE 10 Charizard EX 215/197 Obsidian Flames Scarlet Violet English Pokemon,Obsidian Flames Scarlet Violet,Obsidian Flames,0.667
ex10-29,ex10,29,Lugia,Unseen Forces,ACE 10,£193.10,Sold 6 Jun 2026,POP 2 Lugia 29/115 2005 Unseen Forces Ace 10,Unseen Forces Ace 10,Unseen Forces,0.788
sv08-247,sv08,247,Pikachu ex,Surging Sparks,ACE 10,£130.70,Sold 6 Jun 2026,ACE 10 - 247/191 Pokemon Surging Sparks Hyper Rare Pikachu EX perfect subs,Pokemon Surging Sparks Hyper,Surging Sparks,0.667
swsh10-046,swsh10,46,Radiant Greninja,Astral Radiance,ACE 10,£44.00,Sold 6 Jun 2026,Radiant Greninja 046/189 Swsh10: Astral Radiance Holo - ACE 10 Perfect Subgrades,Swsh10: Astral Radiance Holo,Astral Radiance,0.714
swsh12.5-GG38,swsh12.5,GG38,Suicune V,Crown Zenith,ACE 10,£129.99,Sold 6 Jun 2026,*PERFECT SUBGRADES* - Suicune V GG38/GG70 - Crown Zenith Galarian Gallery ACE 10,- Crown Zenith Galarian,Crown Zenith,0.727
